Sample,Species,Site,Lane
FB11A,Crepidula fornicata,Beverly,2
FB12A,Crepidula fornicata,Beverly,2
FB13A,Crepidula fornicata,Beverly,2
FB13B,Crepidula fornicata,Beverly,2
FB14A,Crepidula fornicata,Beverly,1
FB14B,Crepidula fornicata,Beverly,2
FB21A,Crepidula fornicata,Beverly,1
FB21B,Crepidula fornicata,Beverly,1
FB22A,Crepidula fornicata,Beverly,1
FB22B,Crepidula fornicata,Beverly,2
FB23A,Crepidula fornicata,Beverly,1
FB23B,Crepidula fornicata,Beverly,2
FB23C,Crepidula fornicata,Beverly,2
FB32A,Crepidula fornicata,Beverly,1
FB41A,Crepidula fornicata,Beverly,2
FB42B,Crepidula fornicata,Beverly,1
FB44A,Crepidula fornicata,Beverly,1
FC12A,Crepidula fornicata,Cape May,2
FC12m,Crepidula fornicata,Cape May,2
FC13A,Crepidula fornicata,Cape May,1
FC14A,Crepidula fornicata,Cape May,1
FC21A,Crepidula fornicata,Cape May,1
FC21B,Crepidula fornicata,Cape May,2
FC22A,Crepidula fornicata,Cape May,1
FC22B,Crepidula fornicata,Cape May,1
FC24A,Crepidula fornicata,Cape May,1
FC24B,Crepidula fornicata,Cape May,2
FC31A,Crepidula fornicata,Cape May,2
FC32A,Crepidula fornicata,Cape May,1
FC32B,Crepidula fornicata,Cape May,1
FC33A,Crepidula fornicata,Cape May,1
FC33B,Crepidula fornicata,Cape May,2
FC33C,Crepidula fornicata,Cape May,2
FC34A,Crepidula fornicata,Cape May,2
FC41A,Crepidula fornicata,Cape May,2
FC42A,Crepidula fornicata,Cape May,1
FC43A,Crepidula fornicata,Cape May,2
FK11B,Crepidula fornicata,Kettle Cove,1
FK12A,Crepidula fornicata,Kettle Cove,1
FK21A,Crepidula fornicata,Kettle Cove,1
FK21B,Crepidula fornicata,Kettle Cove,1
FK22A,Crepidula fornicata,Kettle Cove,1
FK23A,Crepidula fornicata,Kettle Cove,2
FK24B,Crepidula fornicata,Kettle Cove,2
FK31A,Crepidula fornicata,Kettle Cove,1
FK33A,Crepidula fornicata,Kettle Cove,2
FK33B,Crepidula fornicata,Kettle Cove,2
FK33C,Crepidula fornicata,Kettle Cove,2
FK34A,Crepidula fornicata,Kettle Cove,1
FK34B,Crepidula fornicata,Kettle Cove,2
FK41A,Crepidula fornicata,Kettle Cove,1
FK43A,Crepidula fornicata,Kettle Cove,2
FK44A,Crepidula fornicata,Kettle Cove,1
FK44B,Crepidula fornicata,Kettle Cove,2
FK44C,Crepidula fornicata,Kettle Cove,1
FN11A,Crepidula fornicata,Newport,2
FN11B,Crepidula fornicata,Newport,2
FN13A,Crepidula fornicata,Newport,1
FN14A,Crepidula fornicata,Newport,1
FN21A,Crepidula fornicata,Newport,2
FN22A,Crepidula fornicata,Newport,2
FN22B,Crepidula fornicata,Newport,1
FN22C,Crepidula fornicata,Newport,1
FN31A,Crepidula fornicata,Newport,1
FN32A,Crepidula fornicata,Newport,2
FN33B,Crepidula fornicata,Newport,2
FN34A,Crepidula fornicata,Newport,2
FN34B,Crepidula fornicata,Newport,1
FN43A,Crepidula fornicata,Newport,1
FN43B,Crepidula fornicata,Newport,2
FN43C,Crepidula fornicata,Newport,1
FN44A,Crepidula fornicata,Newport,2
FN44m,Crepidula fornicata,Newport,1
FN44C,Crepidula fornicata,Newport,2
FR13A,Crepidula fornicata,Robbinston,2
FR21A,Crepidula fornicata,Robbinston,1
FR21B,Crepidula fornicata,Robbinston,1
FR23B,Crepidula fornicata,Robbinston,1
FR23m,Crepidula fornicata,Robbinston,1
FR24A,Crepidula fornicata,Robbinston,2
FR24B,Crepidula fornicata,Robbinston,2
FR31A,Crepidula fornicata,Robbinston,1
FR31B,Crepidula fornicata,Robbinston,1
FR32A,Crepidula fornicata,Robbinston,1
FR331A,Crepidula fornicata,Robbinston,1
FR33A,Crepidula fornicata,Robbinston,1
FR411A,Crepidula fornicata,Robbinston,1
FR43A,Crepidula fornicata,Robbinston,1
FR43B,Crepidula fornicata,Robbinston,2
FR43C,Crepidula fornicata,Robbinston,2
PB11A,Crepidula plana,Beverly,2
PB11B,Crepidula plana,Beverly,1
PB11C,Crepidula plana,Beverly,1
PB12A,Crepidula plana,Beverly,1
PB13A,Crepidula plana,Beverly,1
PB14A,Crepidula plana,Beverly,2
PB14B,Crepidula plana,Beverly,1
PB21A,Crepidula plana,Beverly,1
PB22m,Crepidula plana,Beverly,1
PB23A,Crepidula plana,Beverly,2
PB24A,Crepidula plana,Beverly,1
PB24B,Crepidula plana,Beverly,1
PB31A,Crepidula plana,Beverly,2
PB32A,Crepidula plana,Beverly,1
PB33A,Crepidula plana,Beverly,1
PB33B,Crepidula plana,Beverly,1
PB33C,Crepidula plana,Beverly,1
PB34A,Crepidula plana,Beverly,2
PB43A,Crepidula plana,Beverly,2
PC11A,Crepidula plana,Cape May,1
PC12A,Crepidula plana,Cape May,1
PC13A,Crepidula plana,Cape May,1
PC13C,Crepidula plana,Cape May,2
PC14A,Crepidula plana,Cape May,2
PC21A,Crepidula plana,Cape May,1
PC22A,Crepidula plana,Cape May,1
PC22B,Crepidula plana,Cape May,1
PC22C,Crepidula plana,Cape May,1
PC23A,Crepidula plana,Cape May,1
PC23B,Crepidula plana,Cape May,2
PC23C,Crepidula plana,Cape May,1
PC24A,Crepidula plana,Cape May,1
PC24B,Crepidula plana,Cape May,2
PC31A,Crepidula plana,Cape May,2
PC41A,Crepidula plana,Cape May,2
PC41B,Crepidula plana,Cape May,1
PC43A,Crepidula plana,Cape May,1
PC43B,Crepidula plana,Cape May,2
PC43C,Crepidula plana,Cape May,2
PK10,Crepidula plana,Kettle Cove,2
PK11,Crepidula plana,Kettle Cove,2
PK12,Crepidula plana,Kettle Cove,2
PK13,Crepidula plana,Kettle Cove,2
PK14,Crepidula plana,Kettle Cove,1
PK15,Crepidula plana,Kettle Cove,1
PK17,Crepidula plana,Kettle Cove,1
PK18,Crepidula plana,Kettle Cove,2
PK2,Crepidula plana,Kettle Cove,2
PK3,Crepidula plana,Kettle Cove,1
PK4,Crepidula plana,Kettle Cove,1
PK5,Crepidula plana,Kettle Cove,2
PK6m,Crepidula plana,Kettle Cove,1
PK7,Crepidula plana,Kettle Cove,2
PK8,Crepidula plana,Kettle Cove,1
PK9,Crepidula plana,Kettle Cove,1
PN1,Crepidula plana,Newport,2
PN10,Crepidula plana,Newport,2
PN12,Crepidula plana,Newport,2
PN13,Crepidula plana,Newport,1
PN14,Crepidula plana,Newport,2
PN15,Crepidula plana,Newport,1
PN16,Crepidula plana,Newport,1
PN18,Crepidula plana,Newport,1
PN2,Crepidula plana,Newport,2
PN20,Crepidula plana,Newport,1
PN21,Crepidula plana,Newport,2
PN23,Crepidula plana,Newport,1
PN24,Crepidula plana,Newport,2
PN25,Crepidula plana,Newport,1
PN26,Crepidula plana,Newport,2
PN28,Crepidula plana,Newport,1
PN5,Crepidula plana,Newport,1
PN6m,Crepidula plana,Newport,2
PN8,Crepidula plana,Newport,2
PN9,Crepidula plana,Newport,1