Sample,Lane
PN18,1
FR31B,1
FC33A,1
PC23A,1
PB33C,1
FN34B,1
FB21B,1
FC13A,1
FC43A,2
PC14A,2
FK23A,2
FB23C,2
PK12,2
PK13,2
FR21A,1
PN23,1
PC43A,1
FC42A,1
PK9,1
FK44C,1
FN22C,1
FR33A,1
FB41A,2
FC21B,2
FB12A,2
PC43B,2
PN26,2
PB43A,2
FR13A,2
PC12A,1
FR331A,1
PN13,1
PB21A,1
PN20,1
FB42B,1
FB14A,1
PK2,2
PK11,2
FC12B,2
FR43B,2
FN44A,2
FK34B,2
FC12B_2,2
PB24A,1
FN13A,1
FR31A,1
PN9,1
FC32B,1
PK17,1
FN31A,1
FK24B,2
PB23A,2
FN32A,2
FK33C,2
PC43C,2
FC24B,2
PB31A,2
FN44B,1
FN44B_2,1
PB33B,1
FR23B,1
PN15,1
FK11B,1
PB12A,1
FK44A,1
FN33B,2
FK43A,2
PN24,2
FC41A,2
FC31A,2
FN44C,2
FC34A,2
FK31A,1
PC13A,1
FN43C,1
PB13A,1
FR411A,1
PN5,1
FB32A,1
FC21A,1
PB11A,2
FB23B,2
PC24B,2
FB13A,2
FR24B,2
PC41A,2
FB11A,2
PB11B,1
PC23C,1
FN14A,1
PC21A,1
FB44A,1
FR21B,1
PN25,1
PK4,1
FB22B,2
FN34A,2
FN11A,2
PK10,2
FK33B,2
FN43B,2
PC11A,1
FK41A,1
PK6,1
FK34A,1
PC22A,1
PB24B,1
FR32A,1
PN28,1
PC31A,2
PC23B,2
PK18,2
FN22A,2
PK6_2,2
FN33A,2
PN21,2
FK21A,1
PB14B,1
PK3,1
FB21A,1
PC22B,1
PB32A,1
FR43A,1
PN14,2
FN11B,2
FR43C,2
PB13B,2
PN10,2
FB14B,2
PC13C,2
PN16,1
FB22A,1
PB11C,1
FR23C,1
PB22A,1
FC24A,1
PC24A,1
PB22A_2,1
FR23C_2,2
PN1,2
FK44B,2
PK5,2
FC33B,2
FK33A,2
FN43A,1
PK14,1
PC41B,1
FK22A,1
FC14A,1
FC22A,1
PK15,1
PC22C,1
PB14A,2
FR24A,2
PN2,2
PK7,2
FC12A,2
PN8,2
FB13B,2
FN22B,1
FC32A,1
FK12A,1
PK8,1
FK21B,1
PB33A,1
FC22B,1
FB23A,1
PN6,2
PB34A,2
FR44A,2
PN12,2
FN21A,2
FC33C,2
PN6_2,2